OBJECTID,DC_DIST,SECTOR,DISPATCH_DATE_TIME,LOCATION_BLOCK,UCR_GENERAL,TEXT_GENERAL_CODE,DIV_NAME,PSA_NUM,UCR_CATEGORY,UCR_Type,DISPATCH_DATE_TIME_MS,HH,MM,SS,SSS,x,y
1,24,1,12/26/2017 11:05:00 AM,3200 BLOCK H ST,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,12/26/2017 11:05:47 AM,6,5,47,561,-75.1134,39.9966
2,24,1,6/28/2017 12:02:00 PM,3200 BLOCK H ST,700,Recovered Stolen Motor Vehicle,EPD,241,Property Crime,MV Theft,6/28/2017 12:02:47 PM,8,2,47,627,-75.1134,39.9966
3,24,1,6/13/2017 2:14:00 PM,1800 BLOCK E ALLEGHENY AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,6/13/2017 2:14:47 PM,10,14,47,665,-75.1132,39.9964
4,24,1,12/6/2017 3:06:00 PM,1800 BLOCK E ALLEGHENY AV,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,12/6/2017 3:06:47 PM,10,6,47,700,-75.1133,39.9965
5,24,1,9/17/2017 7:25:00 PM,3200 BLOCK POTTER ST,500,Burglary Residential,EPD,241,Property Crime,Burglary,9/17/2017 7:25:47 PM,15,25,47,723,-75.1128,39.9974
6,24,1,12/19/2017 8:18:00 AM,800 BLOCK E WESTMORELAND ST,600,Thefts,EPD,241,Property Crime,Larceny,12/19/2017 8:18:47 AM,3,18,47,736,-75.1134,39.9982
7,24,1,11/7/2017 10:20:00 AM,1800 BLOCK E LIPPINCOTT ST,600,Theft from Vehicle,EPD,242,Property Crime,Larceny,11/7/2017 10:20:47 AM,5,20,47,784,-75.1137,39.9951
8,24,1,11/4/2017 9:20:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,11/4/2017 9:20:47 PM,17,20,47,828,-75.1133,39.9965
9,24,1,6/10/2017 4:21:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,6/10/2017 4:21:47 PM,12,21,47,844,-75.1132,39.9964
10,24,1,4/13/2017 7:35:00 PM,800 BLOCK E ALLEGHENY AV,600,Thefts,EPD,241,Property Crime,Larceny,4/13/2017 7:35:47 PM,15,35,47,851,-75.115,39.9968
11,24,1,9/13/2017 1:12:00 PM,800 BLOCK E WESTMORELAND ST,400,Aggravated Assault Firearm,EPD,241,Violent Crime,Agg. Assault,9/13/2017 1:12:47 PM,9,12,47,852,-75.1143,39.9982
12,24,1,2/3/2017 3:23:00 AM,KENSINGTON AV / E ALLEGHENY AV,400,Aggravated Assault No Firearm,EPD,241,Violent Crime,Agg. Assault,2/3/2017 3:23:47 AM,22,23,47,854,-75.1134,39.9965
13,24,1,3/22/2017 7:50:00 PM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,3/22/2017 7:50:47 PM,15,50,47,899,-75.1129,39.996
14,24,1,11/3/2017 5:49:00 PM,3200 BLOCK KENSINGTON AV,600,Theft from Vehicle,EPD,241,Property Crime,Larceny,11/3/2017 5:49:47 PM,13,49,47,923,-75.1127,39.9969
15,24,1,7/24/2017 2:48:00 PM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,7/24/2017 2:48:47 PM,10,48,47,935,-75.1134,39.9966
16,24,1,5/5/2017 12:11:00 PM,800 BLOCK E WILLARD ST,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,5/5/2017 12:11:48 PM,8,11,48,1,-75.115,39.998
17,24,1,3/16/2017 11:56:00 AM,1800 BLOCK E ALLEGHENY AVE,600,Thefts,EPD,241,Property Crime,Larceny,3/16/2017 11:56:48 AM,7,56,48,20,-75.1133,39.9965
18,24,1,10/16/2017 7:52:00 PM,3200 BLOCK KENSINGTON AVE,300,Robbery No Firearm,EPD,241,Violent Crime,Robbery,10/16/2017 7:52:48 PM,15,52,48,33,-75.1134,39.9966
19,24,1,12/4/2017 5:43:00 PM,3200 BLOCK KENSINGTON AV,600,Thefts,EPD,241,Property Crime,Larceny,12/4/2017 5:43:48 PM,12,43,48,42,-75.1127,39.9968
